Steam Console Client (c) Valve Corporation
-- type 'quit' to exit --
Loading Steam API...OK.

Connecting anonymously to Steam Public...Logged in OK
Waiting for user info...OK
 Update state (0x3) reconfiguring, progress: 0.00 (0 / 0)
 Update state (0x5) validating, progress: 1.17 (221831505 / 18975050789)
 Update state (0x5) validating, progress: 2.11 (399909528 / 18975050789)
 Update state (0x5) validating, progress: 2.14 (406260914 / 18975050789)
 Update state (0x5) validating, progress: 2.16 (409469481 / 18975050789)
 Update state (0x5) validating, progress: 3.41 (647757489 / 18975050789)
 Update state (0x5) validating, progress: 5.75 (1090194201 / 18975050789)
 Update state (0x5) validating, progress: 5.95 (1128098369 / 18975050789)
 Update state (0x5) validating, progress: 5.95 (1129874057 / 18975050789)
 Update state (0x5) validating, progress: 5.97 (1132633303 / 18975050789)
 Update state (0x5) validating, progress: 5.98 (1133970150 / 18975050789)
 Update state (0x5) validating, progress: 5.99 (1135847393 / 18975050789)
 Update state (0x5) validating, progress: 6.04 (1145277568 / 18975050789)
 Update state (0x5) validating, progress: 6.12 (1160671979 / 18975050789)
 Update state (0x5) validating, progress: 6.19 (1175391861 / 18975050789)
 Update state (0x5) validating, progress: 6.27 (1189724227 / 18975050789)
 Update state (0x5) validating, progress: 6.39 (1211762522 / 18975050789)
 Update state (0x5) validating, progress: 6.41 (1216781384 / 18975050789)
 Update state (0x5) validating, progress: 6.51 (1235746284 / 18975050789)
 Update state (0x5) validating, progress: 6.59 (1249868678 / 18975050789)
 Update state (0x5) validating, progress: 6.65 (1261219720 / 18975050789)
 Update state (0x5) validating, progress: 6.70 (1272057690 / 18975050789)
 Update state (0x5) validating, progress: 6.81 (1292592031 / 18975050789)
 Update state (0x5) validating, progress: 6.86 (1301537895 / 18975050789)
 Update state (0x5) validating, progress: 6.91 (1310968662 / 18975050789)
 Update state (0x5) validating, progress: 6.95 (1318142569 / 18975050789)
 Update state (0x5) validating, progress: 7.01 (1330597082 / 18975050789)
 Update state (0x5) validating, progress: 7.05 (1337739072 / 18975050789)
 Update state (0x5) validating, progress: 7.09 (1344870036 / 18975050789)
 Update state (0x5) validating, progress: 7.16 (1358312155 / 18975050789)
 Update state (0x5) validating, progress: 7.22 (1369868944 / 18975050789)
 Update state (0x5) validating, progress: 7.28 (1382292793 / 18975050789)
 Update state (0x5) validating, progress: 7.35 (1394091026 / 18975050789)
 Update state (0x5) validating, progress: 7.37 (1399138901 / 18975050789)
 Update state (0x5) validating, progress: 7.43 (1409598622 / 18975050789)
 Update state (0x5) validating, progress: 7.48 (1419175408 / 18975050789)
 Update state (0x5) validating, progress: 7.54 (1429877781 / 18975050789)
 Update state (0x5) validating, progress: 7.62 (1446746778 / 18975050789)
 Update state (0x5) validating, progress: 7.70 (1461398835 / 18975050789)
 Update state (0x5) validating, progress: 7.77 (1475279545 / 18975050789)
 Update state (0x5) validating, progress: 7.84 (1486981615 / 18975050789)
 Update state (0x5) validating, progress: 7.93 (1505324071 / 18975050789)
 Update state (0x5) validating, progress: 7.94 (1505824725 / 18975050789)
 Update state (0x5) validating, progress: 7.94 (1506322871 / 18975050789)
 Update state (0x5) validating, progress: 7.94 (1506815539 / 18975050789)
 Update state (0x5) validating, progress: 7.94 (1507319335 / 18975050789)
 Update state (0x5) validating, progress: 7.95 (1507824490 / 18975050789)
 Update state (0x5) validating, progress: 7.95 (1508370706 / 18975050789)
 Update state (0x5) validating, progress: 7.95 (1508819308 / 18975050789)
 Update state (0x5) validating, progress: 7.95 (1509337616 / 18975050789)
 Update state (0x5) validating, progress: 7.96 (1509835119 / 18975050789)
 Update state (0x5) validating, progress: 7.96 (1510341683 / 18975050789)
 Update state (0x5) validating, progress: 7.96 (1510812579 / 18975050789)
 Update state (0x5) validating, progress: 7.97 (1511903303 / 18975050789)
 Update state (0x5) validating, progress: 7.99 (1515287513 / 18975050789)
 Update state (0x5) validating, progress: 8.01 (1520031247 / 18975050789)
 Update state (0x5) validating, progress: 8.03 (1523265921 / 18975050789)
 Update state (0x5) validating, progress: 8.03 (1523582278 / 18975050789)
 Update state (0x5) validating, progress: 8.16 (1548929926 / 18975050789)
 Update state (0x5) validating, progress: 8.40 (1593862647 / 18975050789)
 Update state (0x5) validating, progress: 8.55 (1622954634 / 18975050789)
 Update state (0x5) validating, progress: 8.61 (1633794899 / 18975050789)
 Update state (0x5) validating, progress: 8.66 (1642641914 / 18975050789)
 Update state (0x5) validating, progress: 9.63 (1827505987 / 18975050789)
 Update state (0x5) validating, progress: 11.35 (2152900681 / 18975050789)
 Update state (0x5) validating, progress: 14.59 (2769109082 / 18975050789)
 Update state (0x5) validating, progress: 17.83 (3383006710 / 18975050789)
 Update state (0x5) validating, progress: 20.68 (3923707199 / 18975050789)
 Update state (0x5) validating, progress: 23.30 (4420618164 / 18975050789)
 Update state (0x5) validating, progress: 26.29 (4988049367 / 18975050789)
 Update state (0x5) validating, progress: 29.29 (5557216911 / 18975050789)
 Update state (0x5) validating, progress: 31.60 (5995960934 / 18975050789)
 Update state (0x5) validating, progress: 34.14 (6477356401 / 18975050789)
 Update state (0x5) validating, progress: 37.27 (7071717984 / 18975050789)
 Update state (0x5) validating, progress: 40.64 (7711883763 / 18975050789)
